,severity
1795,Significant
1796,Significant
1797,Minor
1798,Minor
1799,Minor
1800,Minor
1801,Minor
1802,Minor
1803,Minor
1804,Minor
1805,Significant
1806,Significant
1807,Minor
1808,Significant
1809,Significant
1810,Minor
1811,Significant
1812,Significant
1813,Minor
1814,Minor
1815,Minor
1816,Minor
1817,Minor
1818,Minor
1819,Significant
1820,Significant
1821,Minor
1822,Significant
1823,Significant
1824,Significant
1825,Minor
1826,Minor
1827,Minor
1828,Significant
1829,Minor
1830,Minor
1831,Significant
1832,Minor
1833,Minor
1834,Significant
1835,Minor
1836,Minor
1837,Significant
1838,Minor
1839,Minor
1840,Minor
1841,Significant
1842,Minor
1843,Minor
1844,Minor
1845,Significant
1846,Significant
1847,Significant
1848,Significant
1849,Minor
1850,Significant
1851,Minor
1852,Minor
1853,Minor
1854,Significant
1855,Minor
1856,Minor
1857,Minor
1858,Significant
1859,Minor
1860,Minor
1861,Significant
1862,Significant
1863,Minor
1864,Minor
1865,Minor
1866,Minor
1867,Minor
1868,Minor
1869,Minor
1870,Minor
1871,Significant
1872,Significant
1873,Significant
1874,Minor
1875,Significant
1876,Significant
1877,Minor
1878,Significant
1879,Minor
1880,Minor
1881,Minor
1882,Minor
1883,Minor
1884,Minor
1885,Significant
1886,Minor
1887,Minor
1888,Minor
1889,Significant
1890,Minor
1891,Minor
1892,Significant
1893,Minor
1894,Minor
1895,Minor
1896,Significant
1897,Minor
1898,Significant
1899,Significant
1900,Minor
1901,Minor
1902,Significant
1903,Minor
1904,Minor
1905,Minor
1906,Minor
1907,Minor
1908,Minor
1909,Minor
1910,Minor
1911,Significant
1912,Significant
1913,Significant
1914,Significant
1915,Minor
1916,Minor
1917,Minor
1918,Minor
1919,Significant
1920,Significant
1921,Minor
1922,Minor
1923,Significant
1924,Minor
1925,Minor
1926,Significant
1927,Significant
1928,Significant
1929,Minor
1930,Minor
1931,Minor
1932,Minor
1933,Minor
1934,Significant
1935,Minor
1936,Minor
1937,Significant
1938,Minor
1939,Minor
1940,Minor
1941,Significant
1942,Minor
1943,Minor
1944,Minor
1945,Minor
1946,Minor
1947,Significant
1948,Minor
1949,Minor
1950,Minor
1951,Significant
1952,Significant
1953,Significant
1954,Minor
1955,Significant
1956,Minor
1957,Minor
1958,Significant
1959,Minor
1960,Minor
1961,Minor
1962,Minor
1963,Minor
1964,Significant
1965,Minor
1966,Minor
1967,Minor
1968,Minor
1969,Minor
1970,Minor
1971,Minor
1972,Significant
1973,Significant
1974,Significant
1975,Minor
1976,Minor
1977,Significant
1978,Significant
1979,Minor
1980,Significant
1981,Minor
1982,Minor
1983,Significant
1984,Minor
1985,Significant
1986,Significant
1987,Significant
1988,Minor
1989,Minor
1990,Significant
1991,Significant
1992,Minor
1993,Minor
1994,Minor
1995,Significant
1996,Minor
1997,Minor
1998,Minor
1999,Minor
2000,Minor
2001,Minor
2002,Minor
2003,Significant
2004,Minor
2005,Significant
2006,Significant
2007,Significant
2008,Significant
2009,Significant
2010,Minor
2011,Minor
2012,Minor
2013,Significant
2014,Significant
2015,Significant
2016,Minor
2017,Significant
2018,Significant
2019,Significant
2020,Minor
2021,Minor
2022,Minor
2023,Minor
2024,Significant
2025,Minor
2026,Minor
2027,Significant
2028,Significant
2029,Significant
2030,Minor
2031,Severe
2032,Minor
2033,Significant
2034,Minor
2035,Significant
2036,Significant
2037,Minor
2038,Minor
2039,Minor
2040,Minor
2041,Significant
2042,Significant
2043,Minor
2044,Minor
2045,Significant
2046,Minor
2047,Severe
2048,Minor
2049,Minor
2050,Minor
2051,Minor
2052,Minor
2053,Severe
2054,Significant
2055,Minor
2056,Minor
2057,Significant
2058,Significant
2059,Minor
2060,Minor
2061,Minor
2062,Significant
2063,Significant
2064,Minor
2065,Minor
2066,Minor
2067,Minor
2068,Minor
2069,Minor
2070,Minor
2071,Minor
2072,Significant
2073,Minor
2074,Significant
2075,Minor
2076,Minor
2077,Minor
2078,Minor
2079,Minor
2080,Minor
2081,Minor
2082,Significant
2083,Minor
2084,Significant
2085,Minor
2086,Minor
2087,Significant
2088,Significant
2089,Minor
2090,Minor
2091,Minor
2092,Significant
2093,Minor
2094,Minor
2095,Significant
2096,Significant
2097,Significant
2098,Minor
2099,Minor
2100,Significant
2101,Minor
2102,Minor
2103,Significant
2104,Minor
2105,Significant
2106,Significant
2107,Minor
2108,Minor
2109,Significant
2110,Significant
2111,Significant
2112,Significant
2113,Minor
2114,Minor
2115,Significant
2116,Significant
2117,Minor
2118,Minor
2119,Minor
2120,Minor
2121,Minor
2122,Minor
2123,Minor
2124,Minor
2125,Minor
2126,Minor
2127,Minor
2128,Significant
2129,Significant
2130,Minor
2131,Significant
2132,Minor
2133,Minor
2134,Minor
2135,Minor
2136,Significant
2137,Minor
2138,Minor
2139,Minor
2140,Minor
