	type	location	distracted	time
22200	Parked Car	Mid-Block	no	9.2
22201	Sideswipe	Mid-Block	no	9.43
22202	Right Turn	Mid-Block	no	9.87
22203	Left Turn	At Intersection	yes	12.4
22204	Parked Car	Mid-Block	yes	12.95
22205	Pedestrian	At Intersection	no	13.0
22206	Parked Car	Mid-Block	no	13.17
22207	Parked Car	Mid-Block	no	13.25
22208	Parked Car	Mid-Block	no	14.75
22209	Parked Car	Mid-Block	no	15.0
22210	Parked Car	Mid-Block	no	16.33
22211	Pedestrian	Mid-Block	no	16.6
22212	Parked Car	Mid-Block	no	16.93
22213	Angles	At Intersection	no	17.33
22214	Parked Car	Mid-Block	no	18.05
22215	Left Turn	At Intersection	no	18.25
22216	Parked Car	Driveway Junction	no	19.3
22217	Sideswipe	Mid-Block	no	19.5
22218	Angles	At Intersection	no	19.97
22219	Parked Car	Mid-Block	no	20.0
22220	Angles	Driveway Junction	no	20.2
22221	Rear Ended	Mid-Block	no	20.5
22222	Angles	At Intersection	no	22.52
22223	Parked Car	Mid-Block	no	23.5
22224	Parked Car	Mid-Block	no	0.02
22225	Rear Ended	Mid-Block	no	2.03
22226	Angles	At Intersection	no	2.43
22227	Angles	At Intersection	no	7.25
22228	Parked Car	Mid-Block	no	8.0
22229	Cycles	At Intersection	no	9.08
22230	Angles	At Intersection	no	9.9
22231	Angles	At Intersection	no	10.12
22232	Rear Ended	Mid-Block	no	10.6
22233	Pedestrian	Mid-Block	no	11.0
22234	Parked Car	Mid-Block	no	11.33
22235	Sideswipe	Mid-Block	no	11.37
22236	Rear Ended	Mid-Block	yes	12.25
22237	Rear Ended	Mid-Block	yes	12.92
22238	Parked Car	Mid-Block	no	13.18
22239	Sideswipe	Mid-Block	no	13.33
22240	Rear Ended	At Intersection	yes	14.93
22241	Rear Ended	Mid-Block	yes	15.33
22242	Sideswipe	Mid-Block	no	15.38
22243	Angles	At Intersection	no	16.1
22244	Pedestrian	At Intersection	no	16.85
22245	Rear Ended	Mid-Block	no	17.2
22246	Angles	At Intersection	no	19.17
22247	Left Turn	At Intersection	no	20.15
22248	Left Turn	At Intersection	no	20.53
22249	Angles	At Intersection	no	20.58
22250	Parked Car	Mid-Block	no	0.02
22251	Parked Car	Mid-Block	no	0.02
22252	Angles	At Intersection	no	1.15
22253	Parked Car	Mid-Block	yes	5.25
22254	Parked Car	Mid-Block	no	8.67
22255	Parked Car	Mid-Block	no	12.78
22256	Angles	At Intersection	no	12.97
22257	Cycles	At Intersection	no	14.12
22258	Right Turn	Mid-Block	yes	15.53
22259	Angles	Mid-Block	yes	16.67
22260	Head On	Mid-Block	no	16.92
22261	Rear Ended	At Intersection	yes	17.15
22262	Angles	At Intersection	no	19.75
22263	Sideswipe	At Intersection	no	21.97
22264	Rear Ended	Mid-Block	no	22.32
22265	Parked Car	Mid-Block	no	22.43
22266	Angles	At Intersection	no	0.05
22267	Pedestrian	Mid-Block	no	6.88
22268	Rear Ended	At Intersection	yes	7.4
22269	Rear Ended	Mid-Block	no	7.82
22270	Rear Ended	Mid-Block	no	7.97
22271	Sideswipe	Mid-Block	yes	8.87
22272	Rear Ended	Mid-Block	no	12.82
22273	Angles	At Intersection	no	14.25
22274	Angles	At Intersection	no	15.12
22275	Left Turn	At Intersection	no	15.35
22276	Rear Ended	Mid-Block	no	16.4
22277	Pedestrian	Mid-Block	no	16.65
22278	Angles	At Intersection	no	17.1
22279	Left Turn	Mid-Block	no	18.27
22280	Parked Car	Mid-Block	no	22.5
22281	Angles	At Intersection	no	7.0
22282	Rear Ended	Mid-Block	no	8.63
22283	Parked Car	Mid-Block	no	9.92
22284	Parked Car	Mid-Block	no	10.0
22285	Sideswipe	At Intersection	no	11.83
22286	Pedestrian	At Intersection	no	15.02
22287	Angles	At Intersection	no	15.77
22288	Cycles	Mid-Block	no	16.85
22289	Rear Ended	Mid-Block	no	18.33
22290	Rear Ended	Mid-Block	yes	19.1
22291	Rear Ended	Mid-Block	no	19.4
22292	Left Turn	At Intersection	no	20.1
22293	Sideswipe	Mid-Block	no	21.08
22294	Rear Ended	Mid-Block	no	21.97
22295	Parked Car	Mid-Block	no	7.5
22296	Parked Car	Mid-Block	no	8.32
22297	Parked Car	Mid-Block	no	10.6
22298	Rear Ended	Mid-Block	no	10.67
22299	Angles	At Intersection	yes	10.83
22300	Angles	At Intersection	no	11.47
22301	Angles	At Intersection	no	12.73
22302	Parked Car	Mid-Block	yes	12.85
22303	Sideswipe	At Intersection	no	15.5
22304	Parked Car	Mid-Block	yes	16.5
22305	Rear Ended	Mid-Block	no	17.12
22306	Parked Car	Mid-Block	no	18.25
22307	Parked Car	Mid-Block	no	18.62
22308	Angles	At Intersection	no	18.88
22309	Parked Car	Mid-Block	no	19.32
22310	Right Turn	Mid-Block	no	5.97
22311	Cycles	At Intersection	no	7.15
22312	Cycles	At Intersection	no	7.17
22313	Parked Car	Mid-Block	no	7.25
22314	Rear Ended	Mid-Block	no	8.0
22315	Head On	At Intersection	no	8.67
22316	Rear Ended	Mid-Block	yes	8.75
22317	Rear Ended	Mid-Block	yes	8.87
22318	Angles	At Intersection	no	9.17
22319	Sideswipe	At Intersection	no	11.05
22320	Parked Car	Mid-Block	no	12.0
22321	Rear Ended	Mid-Block	yes	12.02
22322	Parked Car	Mid-Block	no	12.73
22323	Cycles	At Intersection	no	12.88
22324	Parked Car	Mid-Block	no	13.72
22325	Angles	At Intersection	no	14.2
22326	Left Turn	At Intersection	no	14.37
22327	Pedestrian	At Intersection	no	14.4
22328	Pedestrian	Driveway Junction	no	16.42
22329	Angles	Mid-Block	no	16.52
22330	Left Turn	At Intersection	no	16.53
22331	Rear Ended	Mid-Block	yes	16.67
22332	Angles	At Intersection	no	16.83
22333	Angles	Mid-Block	no	16.93
22334	Parked Car	Mid-Block	no	17.25
22335	Angles	At Intersection	no	17.6
22336	Angles	At Intersection	no	18.13
22337	Rear Ended	At Intersection	no	18.73
22338	Pedestrian	At Intersection	no	0.37
22339	Head On	Driveway Junction	no	2.07
22340	Parked Car	Mid-Block	no	2.43
22341	Parked Car	Mid-Block	no	7.0
22342	Sideswipe	Mid-Block	no	8.23
22343	Sideswipe	At Intersection	no	10.38
22344	Parked Car	Mid-Block	no	10.53
22345	Rear Ended	Mid-Block	yes	12.23
22346	Sideswipe	At Intersection	no	13.0
22347	Right Turn	At Intersection	no	14.77
22348	Angles	At Intersection	no	15.58
22349	Angles	At Intersection	no	15.6
22350	Rear Ended	Mid-Block	no	16.0
22351	Angles	At Intersection	no	16.32
22352	Angles	At Intersection	no	17.42
22353	Angles	At Intersection	no	17.57
22354	Angles	At Intersection	no	18.05
22355	Rear Ended	Mid-Block	no	18.27
22356	Sideswipe	Mid-Block	no	18.65
22357	Rear Ended	Mid-Block	no	18.93
22358	Parked Car	Mid-Block	no	19.0
22359	Parked Car	Mid-Block	no	19.5
22360	Parked Car	Mid-Block	no	20.08
22361	Left Turn	At Intersection	no	22.67
22362	Parked Car	Mid-Block	yes	22.67
22363	Parked Car	Mid-Block	no	2.8
22364	Pedestrian	At Intersection	no	6.72
22365	Parked Car	Mid-Block	no	7.0
22366	Rear Ended	Mid-Block	no	7.2
22367	Rear Ended	Mid-Block	yes	8.83
22368	Angles	At Intersection	no	9.0
22369	Left Turn	At Intersection	no	10.33
22370	Rear Ended	Mid-Block	yes	11.17
22371	Angles	At Intersection	no	11.33
22372	Angles	At Intersection	no	13.12
22373	Angles	At Intersection	no	16.28
22374	Angles	At Intersection	no	16.67
22375	Left Turn	At Intersection	no	16.77
22376	Angles	At Intersection	no	17.33
22377	Angles	At Intersection	no	17.37
22378	Angles	Driveway Junction	no	18.57
22379	Parked Car	Mid-Block	no	20.08
22380	Angles	At Intersection	no	20.15
22381	Parked Car	Mid-Block	no	20.47
22382	Parked Car	Mid-Block	no	21.55
22383	Parked Car	Mid-Block	no	0.68
22384	Angles	At Intersection	no	3.67
22385	Parked Car	Mid-Block	no	6.03
22386	Left Turn	At Intersection	no	6.75
22387	Rear Ended	Mid-Block	no	8.25
22388	Rear Ended	Mid-Block	no	8.28
22389	Rear Ended	Mid-Block	yes	9.0
22390	Parked Car	Mid-Block	no	10.0
22391	Rear Ended	Mid-Block	yes	11.12
22392	Rear Ended	Mid-Block	yes	11.13
22393	Angles	At Intersection	no	11.35
22394	Angles	At Intersection	no	11.5
22395	Pedestrian	At Intersection	no	11.68
22396	Angles	At Intersection	no	12.33
22397	Rear Ended	Mid-Block	no	12.83
22398	Pedestrian	At Intersection	no	12.95
22399	Sideswipe	Mid-Block	no	14.08
22400	Rear Ended	Mid-Block	no	14.93
22401	Angles	At Intersection	no	15.37
22402	Parked Car	Mid-Block	yes	15.37
22403	Rear Ended	Mid-Block	no	16.8
22404	Sideswipe	Mid-Block	no	16.97
22405	Angles	At Intersection	no	17.12
22406	Sideswipe	Mid-Block	no	19.17
22407	Parked Car	Mid-Block	no	1.28
22408	Angles	At Intersection	no	8.0
22409	Angles	At Intersection	no	8.98
22410	Angles	At Intersection	no	9.52
22411	Rear Ended	Mid-Block	yes	9.58
22412	Parked Car	Mid-Block	yes	11.92
22413	Angles	At Intersection	no	11.93
22414	Sideswipe	Mid-Block	no	12.42
22415	Parked Car	Mid-Block	yes	13.02
22416	Angles	At Intersection	no	13.18
22417	Pedestrian	At Intersection	yes	13.47
22418	Rear Ended	Mid-Block	yes	14.0
22419	Angles	At Intersection	no	14.62
22420	Rear Ended	Mid-Block	no	15.23
22421	Parked Car	Mid-Block	no	15.42
22422	Parked Car	Mid-Block	no	15.5
22423	Rear Ended	Mid-Block	no	16.02
22424	Rear Ended	Mid-Block	yes	16.58
22425	Parked Car	Mid-Block	no	18.45
22426	Rear Ended	Mid-Block	yes	18.57
22427	Angles	At Intersection	no	19.27
22428	Cycles	Mid-Block	no	19.42
22429	Angles	At Intersection	no	19.87
22430	Cycles	Mid-Block	yes	21.53
22431	Parked Car	Mid-Block	no	22.0
22432	Left Turn	At Intersection	no	22.07
22433	Head On	Mid-Block	no	22.25
22434	Pedestrian	At Intersection	no	0.48
22435	Parked Car	Mid-Block	no	2.0
22436	Parked Car	Mid-Block	no	4.58
22437	Left Turn	At Intersection	no	7.13
22438	Rear Ended	Mid-Block	yes	7.42
22439	Left Turn	At Intersection	no	7.5
22440	Angles	At Intersection	no	7.6
22441	Pedestrian	At Intersection	no	7.67
22442	Sideswipe	Mid-Block	no	8.33
22443	Pedestrian	At Intersection	no	9.3
22444	Sideswipe	Mid-Block	no	9.7
22445	Pedestrian	At Intersection	no	10.03
22446	Sideswipe	Mid-Block	no	10.9
22447	Right Turn	Mid-Block	no	11.08
22448	Sideswipe	Mid-Block	no	11.3
22449	Rear Ended	Mid-Block	yes	11.4
22450	Rear Ended	Driveway Junction	no	11.4
22451	Angles	At Intersection	no	12.02
22452	Rear Ended	Mid-Block	no	12.25
22453	Parked Car	Mid-Block	no	12.33
22454	Rear Ended	Mid-Block	no	12.48
22455	Angles	At Intersection	no	12.82
22456	Pedestrian	At Intersection	yes	12.95
22457	Angles	Driveway Junction	no	13.85
22458	Angles	At Intersection	no	14.43
22459	Angles	At Intersection	no	15.75
22460	Angles	At Intersection	no	16.42
22461	Parked Car	Mid-Block	no	16.6
22462	Angles	At Intersection	no	17.17
22463	Angles	At Intersection	no	17.77
22464	Rear Ended	Mid-Block	no	18.03
22465	Angles	At Intersection	no	18.13
22466	Rear Ended	Mid-Block	yes	18.2
22467	Pedestrian	Mid-Block	yes	18.3
22468	Angles	At Intersection	no	18.42
22469	Angles	At Intersection	no	18.67
22470	Right Turn	At Intersection	no	19.75
22471	Angles	At Intersection	no	20.27
22472	Parked Car	Driveway Junction	no	20.5
22473	Angles	At Intersection	no	21.33
22474	Sideswipe	Mid-Block	no	22.73
22475	Rear Ended	Mid-Block	no	2.25
22476	Parked Car	Mid-Block	no	2.38
22477	Sideswipe	Mid-Block	yes	6.23
22478	Parked Car	At Intersection	no	7.0
22479	Rear Ended	Mid-Block	yes	7.05
22480	Angles	At Intersection	no	7.52
22481	Rear Ended	Mid-Block	no	7.75
22482	Angles	Driveway Junction	no	8.27
22483	Rear Ended	Mid-Block	no	8.87
22484	Parked Car	Mid-Block	yes	8.9
22485	Pedestrian	At Intersection	no	9.25
22486	Parked Car	Mid-Block	no	9.67
22487	Rear Ended	Mid-Block	yes	10.53
22488	Angles	Mid-Block	no	12.18
22489	Angles	At Intersection	no	13.0
22490	Angles	At Intersection	no	13.28
22491	Angles	At Intersection	no	13.35
22492	Angles	Mid-Block	no	13.82
22493	Parked Car	Mid-Block	no	14.0
22494	Angles	At Intersection	no	15.12
22495	Angles	At Intersection	no	15.48
22496	Angles	At Intersection	no	15.57
22497	Pedestrian	At Intersection	no	15.83
22498	Angles	At Intersection	yes	15.88
22499	Angles	At Intersection	no	15.93
22500	Angles	At Intersection	no	16.08
22501	Rear Ended	Mid-Block	no	16.17
22502	Rear Ended	Mid-Block	no	16.17
22503	Pedestrian	Driveway Junction	yes	16.17
22504	Angles	Mid-Block	no	16.18
22505	Parked Car	Mid-Block	no	16.5
22506	Rear Ended	Mid-Block	yes	16.52
22507	Angles	At Intersection	no	16.55
22508	Angles	At Intersection	no	16.57
22509	Rear Ended	Mid-Block	no	17.0
22510	Angles	At Intersection	no	17.47
22511	Parked Car	Mid-Block	no	17.5
22512	Rear Ended	Mid-Block	yes	17.83
22513	Parked Car	Mid-Block	no	18.0
22514	Sideswipe	Mid-Block	no	18.18
22515	Angles	At Intersection	no	18.6
22516	Parked Car	Mid-Block	no	22.48
22517	Parked Car	Mid-Block	no	23.75
22518	Angles	At Intersection	no	0.08
22519	Parked Car	Mid-Block	no	2.0
22520	Rear Ended	Mid-Block	no	2.17
22521	Left Turn	At Intersection	no	2.37
22522	Angles	At Intersection	yes	8.83
22523	Left Turn	At Intersection	no	8.97
22524	Sideswipe	Mid-Block	no	10.37
22525	Parked Car	Mid-Block	no	12.17
22526	Rear Ended	Mid-Block	yes	12.7
22527	Left Turn	At Intersection	yes	13.0
22528	Rear Ended	Mid-Block	no	14.33
22529	Rear Ended	Mid-Block	yes	14.42
22530	Angles	At Intersection	no	15.17
22531	Rear Ended	Mid-Block	no	15.27
22532	Sideswipe	Mid-Block	no	15.53
22533	Left Turn	At Intersection	yes	15.78
22534	Rear Ended	Mid-Block	yes	16.45
22535	Sideswipe	At Intersection	no	16.53
22536	Rear Ended	Mid-Block	yes	16.67
22537	Pedestrian	Mid-Block	no	22.0
22538	Rear Ended	Mid-Block	no	22.33
22539	Cycles	At Intersection	no	23.17
22540	Left Turn	At Intersection	no	23.6
22541	Rear Ended	Mid-Block	no	23.83
22542	Parked Car	Mid-Block	no	0.02
22543	Angles	At Intersection	no	0.55
22544	Parked Car	Mid-Block	no	1.58
22545	Parked Car	Mid-Block	no	1.77
22546	Parked Car	Mid-Block	yes	2.13
22547	Pedestrian	At Intersection	no	3.27
22548	Angles	At Intersection	no	3.95
22549	Cycles	Mid-Block	no	4.3
22550	Angles	At Intersection	no	8.33
22551	Parked Car	Mid-Block	yes	8.5
22552	Parked Car	Mid-Block	no	9.0
22553	Sideswipe	Mid-Block	no	10.0
22554	Angles	Mid-Block	no	12.83
22555	Head On	Mid-Block	no	12.95
22556	Parked Car	Mid-Block	no	15.2
22557	Left Turn	At Intersection	no	15.32
22558	Parked Car	Mid-Block	no	15.75
22559	Sideswipe	Mid-Block	no	16.42
22560	Right Turn	At Intersection	no	17.73
22561	Angles	At Intersection	no	18.32
22562	Angles	At Intersection	no	19.43
22563	Parked Car	Mid-Block	no	21.4
22564	Sideswipe	Mid-Block	no	21.88
22565	Left Turn	At Intersection	no	22.53
22566	Parked Car	Mid-Block	yes	22.9
22567	Parked Car	Mid-Block	no	0.28
22568	Parked Car	Mid-Block	no	0.65
22569	Left Turn	At Intersection	no	2.42
22570	Rear Ended	Mid-Block	yes	7.5
22571	Rear Ended	Mid-Block	no	7.85
22572	Cycles	Mid-Block	yes	8.58
22573	Angles	At Intersection	no	8.7
22574	Left Turn	At Intersection	no	8.87
22575	Angles	At Intersection	no	9.5
22576	Parked Car	At Intersection	no	9.75
22577	Angles	At Intersection	no	10.08
22578	Angles	At Intersection	no	10.8
22579	Pedestrian	Driveway Junction	no	12.28
22580	Angles	At Intersection	no	14.68
22581	Cycles	At Intersection	no	14.97
22582	Rear Ended	Mid-Block	yes	15.08
22583	Parked Car	Mid-Block	no	15.25
22584	Rear Ended	Mid-Block	no	16.18
22585	Rear Ended	Mid-Block	no	16.7
22586	Angles	At Intersection	no	16.73
22587	Angles	At Intersection	no	17.0
22588	Parked Car	Mid-Block	no	17.3
22589	Sideswipe	Mid-Block	no	21.08
22590	Rear Ended	Mid-Block	no	22.93
22591	Pedestrian	At Intersection	no	0.97
22592	Parked Car	Mid-Block	no	2.08
22593	Parked Car	Mid-Block	no	5.5
22594	Angles	At Intersection	no	5.82
22595	Parked Car	Mid-Block	yes	7.53
22596	Parked Car	Mid-Block	no	7.87
22597	Sideswipe	Mid-Block	no	8.4
22598	Rear Ended	Mid-Block	no	8.42
22599	Left Turn	At Intersection	no	10.25
22600	Sideswipe	Mid-Block	no	11.72
22601	Parked Car	Mid-Block	no	12.5
22602	Rear Ended	Mid-Block	no	12.52
22603	Parked Car	Mid-Block	no	13.0
22604	Angles	At Intersection	no	13.62
22605	Angles	At Intersection	no	15.42
22606	Angles	At Intersection	no	16.12
22607	Left Turn	At Intersection	no	16.75
22608	Angles	At Intersection	no	16.85
22609	Angles	At Intersection	no	18.15
22610	Left Turn	At Intersection	no	19.25
22611	Parked Car	Mid-Block	no	19.82
22612	Angles	At Intersection	no	1.32
22613	Parked Car	Mid-Block	no	9.18
22614	Sideswipe	Mid-Block	no	10.5
22615	Parked Car	Mid-Block	no	11.0
22616	Angles	At Intersection	no	11.43
22617	Parked Car	Mid-Block	no	11.98
22618	Angles	At Intersection	no	12.47
22619	Right Turn	At Intersection	no	15.47
22620	Parked Car	Mid-Block	no	15.83
22621	Sideswipe	Mid-Block	no	17.4
22622	Parked Car	Mid-Block	no	18.0
22623	Pedestrian	At Intersection	no	18.75
22624	Parked Car	Mid-Block	yes	19.02
22625	Parked Car	Mid-Block	no	19.78
22626	Sideswipe	At Intersection	no	21.42
22627	Angles	At Intersection	no	21.58
22628	Parked Car	Mid-Block	no	1.52
22629	Parked Car	Mid-Block	no	6.42
22630	Angles	At Intersection	no	7.33
22631	Pedestrian	At Intersection	no	7.65
22632	Parked Car	Mid-Block	no	9.0
22633	Parked Car	Mid-Block	no	10.58
22634	Rear Ended	Mid-Block	no	10.93
22635	Parked Car	Mid-Block	no	11.47
22636	Parked Car	Mid-Block	no	12.0
22637	Angles	At Intersection	no	12.07
22638	Parked Car	Mid-Block	no	12.9
22639	Parked Car	Mid-Block	no	13.5
22640	Rear Ended	Driveway Junction	no	13.63
22641	Left Turn	At Intersection	no	14.23
22642	Parked Car	Mid-Block	no	14.77
22643	Sideswipe	At Intersection	no	14.82
22644	Sideswipe	At Intersection	no	14.83
22645	Head On	Mid-Block	yes	15.1
22646	Rear Ended	Mid-Block	yes	17.1
22647	Rear Ended	Mid-Block	no	17.3
22648	Parked Car	Mid-Block	no	17.5
22649	Rear Ended	Mid-Block	no	18.43
22650	Parked Car	Mid-Block	no	18.5
22651	Angles	At Intersection	no	18.95
22652	Left Turn	At Intersection	no	21.42
22653	Rear Ended	Mid-Block	no	1.27
22654	Angles	At Intersection	no	2.52
22655	Rear Ended	At Intersection	no	6.5
22656	Head On	At Intersection	no	8.58
22657	Cycles	At Intersection	no	8.65
22658	Rear Ended	Mid-Block	no	9.17
22659	Left Turn	At Intersection	no	9.2
22660	Rear Ended	Mid-Block	no	9.97
22661	Cycles	At Intersection	no	10.1
22662	Angles	At Intersection	yes	11.08
22663	Rear Ended	Mid-Block	no	11.88
22664	Rear Ended	Mid-Block	yes	12.35
22665	Parked Car	Driveway Junction	no	13.17
22666	Sideswipe	Mid-Block	no	13.5
22667	Parked Car	Mid-Block	yes	13.63
22668	Left Turn	At Intersection	no	13.63
22669	Angles	At Intersection	no	14.12
22670	Angles	At Intersection	no	14.23
22671	Sideswipe	Mid-Block	no	14.77
22672	Left Turn	At Intersection	no	15.33
22673	Angles	At Intersection	no	15.83
22674	Rear Ended	At Intersection	no	16.65
22675	Pedestrian	At Intersection	no	18.17
22676	Left Turn	At Intersection	no	21.03
22677	Angles	Mid-Block	no	22.18
22678	Parked Car	Mid-Block	no	0.02
22679	Parked Car	Mid-Block	no	1.0
22680	Parked Car	Mid-Block	no	1.67
22681	Angles	At Intersection	no	1.9
22682	Parked Car	Driveway Junction	yes	3.0
22683	Angles	At Intersection	no	7.25
22684	Rear Ended	Mid-Block	no	8.25
22685	Parked Car	Mid-Block	no	10.75
22686	Rear Ended	Mid-Block	no	10.87
22687	Rear Ended	Mid-Block	yes	12.42
22688	Rear Ended	At Intersection	yes	12.73
22689	Rear Ended	At Intersection	no	12.87
22690	Parked Car	Mid-Block	no	13.0
22691	Parked Car	Mid-Block	no	13.83
22692	Parked Car	Mid-Block	no	14.25
22693	Right Turn	Mid-Block	no	17.87
22694	Angles	At Intersection	no	18.47
22695	Cycles	Driveway Junction	yes	18.8
22696	Angles	At Intersection	no	19.12
22697	Angles	At Intersection	no	20.93
22698	Parked Car	Mid-Block	no	21.0
22699	Sideswipe	Mid-Block	no	22.58
22700	Rear Ended	Mid-Block	no	23.58
22701	Left Turn	At Intersection	no	0.02
22702	Rear Ended	Mid-Block	no	0.25
22703	Parked Car	Mid-Block	no	1.3
22704	Parked Car	Mid-Block	no	7.87
22705	Cycles	At Intersection	no	8.17
22706	Angles	At Intersection	no	10.17
22707	Rear Ended	Mid-Block	no	12.0
22708	Angles	At Intersection	no	12.07
22709	Rear Ended	Mid-Block	yes	13.4
22710	Angles	At Intersection	yes	14.57
22711	Rear Ended	Mid-Block	no	14.63
22712	Rear Ended	Mid-Block	no	14.68
22713	Rear Ended	Mid-Block	no	15.23
22714	Rear Ended	At Intersection	no	15.58
22715	Angles	At Intersection	no	16.9
22716	Sideswipe	Mid-Block	no	17.07
22717	Rear Ended	Mid-Block	no	17.75
22718	Parked Car	Mid-Block	no	18.18
22719	Angles	At Intersection	no	6.43
22720	Left Turn	At Intersection	no	6.78
22721	Rear Ended	Mid-Block	yes	7.47
22722	Left Turn	At Intersection	no	8.0
22723	Sideswipe	Mid-Block	no	10.75
22724	Cycles	Mid-Block	no	12.12
22725	Angles	At Intersection	no	12.42
22726	Left Turn	At Intersection	no	13.1
22727	Parked Car	Mid-Block	no	13.33
22728	Right Turn	Mid-Block	no	15.27
22729	Rear Ended	Mid-Block	no	15.7
22730	Parked Car	Mid-Block	no	16.5
22731	Pedestrian	Mid-Block	no	16.7
22732	Rear Ended	Mid-Block	no	16.95
22733	Sideswipe	Mid-Block	no	17.18
22734	Rear Ended	Mid-Block	yes	17.7
22735	Rear Ended	Mid-Block	no	17.98
22736	Sideswipe	At Intersection	no	19.1
22737	Right Turn	At Intersection	no	19.67
22738	Sideswipe	Mid-Block	no	21.22
22739	Parked Car	Mid-Block	yes	22.33
22740	Angles	At Intersection	no	23.2
22741	Parked Car	Mid-Block	no	8.0
22742	Angles	At Intersection	no	9.63
22743	Rear Ended	Mid-Block	no	9.83
22744	Angles	At Intersection	no	12.0
22745	Angles	At Intersection	no	12.98
22746	Angles	At Intersection	no	14.6
22747	Left Turn	At Intersection	no	14.88
22748	Parked Car	Mid-Block	no	14.88
22749	Rear Ended	At Intersection	yes	15.27
22750	Parked Car	Mid-Block	no	15.38
22751	Right Turn	At Intersection	no	16.07
22752	Rear Ended	Mid-Block	no	16.33
22753	Rear Ended	Mid-Block	no	16.37
22754	Pedestrian	At Intersection	no	16.38
22755	Angles	At Intersection	no	16.5
22756	Angles	Mid-Block	no	17.28
22757	Left Turn	At Intersection	no	17.35
22758	Parked Car	Mid-Block	no	17.8
22759	Angles	Driveway Junction	no	17.88
22760	Parked Car	Mid-Block	no	18.0
22761	Rear Ended	Mid-Block	no	18.02
22762	Pedestrian	At Intersection	no	20.75
22763	Angles	At Intersection	no	21.72
22764	Parked Car	Mid-Block	no	23.13
22765	Parked Car	Driveway Junction	no	23.13
22766	Rear Ended	Mid-Block	no	7.33
22767	Rear Ended	Mid-Block	no	7.42
22768	Parked Car	Mid-Block	no	8.25
22769	Rear Ended	Mid-Block	yes	10.52
22770	Cycles	At Intersection	no	11.25
22771	Parked Car	Mid-Block	no	13.0
22772	Left Turn	At Intersection	no	13.0
22773	Parked Car	Mid-Block	no	13.5
22774	Angles	At Intersection	no	14.33
22775	Left Turn	At Intersection	no	14.77
22776	Angles	At Intersection	no	15.08
22777	Sideswipe	Mid-Block	no	15.23
22778	Left Turn	At Intersection	no	16.28
22779	Sideswipe	At Intersection	no	16.43
22780	Angles	At Intersection	no	16.67
22781	Rear Ended	Mid-Block	yes	18.6
22782	Angles	At Intersection	no	19.47
22783	Rear Ended	Mid-Block	no	20.3
22784	Angles	At Intersection	no	20.37
22785	Parked Car	Mid-Block	no	21.75
22786	Parked Car	Mid-Block	no	2.07
22787	Parked Car	Mid-Block	no	2.4
22788	Sideswipe	Mid-Block	no	5.58
22789	Angles	At Intersection	no	5.67
22790	Sideswipe	At Intersection	no	7.03
22791	Parked Car	Mid-Block	no	9.0
22792	Sideswipe	Mid-Block	no	11.97
22793	Angles	At Intersection	no	14.9
22794	Angles	At Intersection	no	15.17
22795	Angles	Driveway Junction	yes	15.2
22796	Angles	At Intersection	no	15.67
22797	Angles	At Intersection	no	15.87
22798	Sideswipe	Mid-Block	no	15.9
22799	Parked Car	Mid-Block	no	17.25
22800	Left Turn	At Intersection	no	17.43
22801	Parked Car	Mid-Block	no	17.48
22802	Parked Car	Mid-Block	no	19.52
22803	Rear Ended	Mid-Block	no	22.3
22804	Parked Car	Mid-Block	no	0.02
22805	Angles	Mid-Block	no	2.83
22806	Angles	At Intersection	no	4.83
22807	Angles	At Intersection	no	6.78
22808	Angles	At Intersection	no	7.98
22809	Cycles	Mid-Block	no	8.92
22810	Left Turn	At Intersection	no	9.08
22811	Angles	At Intersection	no	11.23
22812	Parked Car	Mid-Block	no	11.3
22813	Head On	Mid-Block	no	11.37
22814	Angles	At Intersection	no	11.92
22815	Rear Ended	Mid-Block	no	12.12
22816	Sideswipe	Mid-Block	no	12.17
22817	Parked Car	Mid-Block	yes	12.38
22818	Sideswipe	Mid-Block	no	12.62
22819	Parked Car	Mid-Block	no	13.95
22820	Sideswipe	Mid-Block	no	13.98
22821	Angles	At Intersection	no	14.47
22822	Angles	At Intersection	no	14.55
22823	Sideswipe	Mid-Block	no	14.67
22824	Angles	Mid-Block	no	14.75
22825	Sideswipe	At Intersection	no	14.88
22826	Rear Ended	Mid-Block	yes	15.17
22827	Sideswipe	Mid-Block	no	15.42
22828	Angles	At Intersection	no	15.52
22829	Angles	At Intersection	no	15.62
22830	Angles	At Intersection	no	16.35
22831	Right Turn	At Intersection	yes	16.42
22832	Angles	At Intersection	no	16.52
22833	Rear Ended	Mid-Block	no	16.72
22834	Angles	At Intersection	no	17.82
22835	Rear Ended	Mid-Block	yes	18.13
22836	Angles	At Intersection	no	18.25
22837	Sideswipe	At Intersection	no	20.8
22838	Sideswipe	Mid-Block	no	21.42
22839	Angles	At Intersection	yes	21.48
22840	Angles	At Intersection	no	22.8
22841	Parked Car	Mid-Block	yes	23.12
22842	Rear Ended	Mid-Block	no	23.37
22843	Parked Car	Mid-Block	yes	23.47
22844	Left Turn	At Intersection	no	6.88
22845	Angles	At Intersection	no	7.13
22846	Sideswipe	Mid-Block	no	9.58
22847	Rear Ended	Mid-Block	no	10.0
22848	Left Turn	At Intersection	no	11.98
22849	Left Turn	At Intersection	no	12.28
