	type	location	distracted	time
46092	Rear Ended	Mid-Block	no	23.9
46093	Angles	At Intersection	no	6.82
46094	Parked Car	Mid-Block	no	8.5
46095	Parked Car	Mid-Block	no	12.5
46096	Rear Ended	Mid-Block	yes	14.07
46097	Angles	At Intersection	no	14.67
46098	Left Turn	At Intersection	no	21.1
46099	Sideswipe	Mid-Block	no	0.18
46100	Sideswipe	Mid-Block	no	12.65
46101	Parked Car	Driveway Junction	yes	16.93
46102	Rear Ended	Mid-Block	no	9.9
46103	Cycles	At Intersection	no	10.87
46104	Cycles	At Intersection	no	16.12
46105	Rear Ended	Mid-Block	no	16.67
46106	Rear Ended	Mid-Block	no	17.95
46107	Rear Ended	At Intersection	no	18.5
46108	Pedestrian	At Intersection	no	18.77
46109	Sideswipe	Mid-Block	no	9.28
46110	Left Turn	At Intersection	no	9.38
46111	Cycles	Mid-Block	yes	9.53
46112	Pedestrian	At Intersection	no	11.83
46113	Left Turn	At Intersection	no	12.08
46114	Sideswipe	Mid-Block	no	15.62
46115	Sideswipe	Mid-Block	no	18.02
46116	Angles	Mid-Block	no	18.27
46117	Cycles	Driveway Junction	no	20.08
46118	Cycles	Mid-Block	no	1.85
46119	Left Turn	At Intersection	no	17.1
46120	Pedestrian	At Intersection	no	19.25
46121	Angles	Mid-Block	no	19.83
46122	Left Turn	Mid-Block	no	12.75
46123	Rear Ended	Mid-Block	no	15.1
46124	Right Turn	Mid-Block	yes	16.6
46125	Angles	At Intersection	no	1.97
46126	Angles	At Intersection	no	10.43
46127	Rear Ended	Mid-Block	yes	16.33
46128	Pedestrian	Mid-Block	no	20.22
46129	Rear Ended	Mid-Block	no	22.07
46130	Angles	At Intersection	no	13.37
46131	Rear Ended	Mid-Block	no	8.25
46132	Rear Ended	Mid-Block	no	8.38
46133	Rear Ended	Mid-Block	no	11.42
46134	Parked Car	Mid-Block	yes	12.83
46135	Angles	At Intersection	no	14.4
46136	Rear Ended	Mid-Block	yes	14.52
46137	Left Turn	At Intersection	no	14.67
46138	Rear Ended	At Intersection	yes	15.5
46139	Left Turn	Mid-Block	no	4.9
46140	Parked Car	Mid-Block	no	7.72
46141	Rear Ended	Mid-Block	no	8.88
46142	Rear Ended	Mid-Block	no	10.25
46143	Parked Car	Mid-Block	no	12.08
46144	Parked Car	Mid-Block	no	13.07
46145	Rear Ended	Driveway Junction	no	13.9
46146	Sideswipe	Mid-Block	no	14.37
46147	Sideswipe	Mid-Block	no	14.5
46148	Parked Car	Mid-Block	no	15.0
46149	Rear Ended	Mid-Block	no	15.08
46150	Angles	At Intersection	no	15.2
46151	Angles	At Intersection	no	15.38
46152	Angles	At Intersection	no	16.0
46153	Rear Ended	Mid-Block	no	16.05
46154	Left Turn	Driveway Junction	no	16.48
46155	Sideswipe	Mid-Block	no	16.63
46156	Parked Car	Mid-Block	no	16.83
46157	Cycles	At Intersection	no	18.17
46158	Left Turn	At Intersection	no	19.05
46159	Left Turn	At Intersection	no	19.87
46160	Cycles	At Intersection	no	21.65
